alpha, P, Xmean, Xvar, Mmean, Mvar
0.010000, 435000.000000, 25339.643973, 18367.203124, 4111437.573966, 1968252030621.983200
0.010000, 440000.000000, 25358.284042, 20498.612483, 9337565.789181, 2278037630628.487800
0.010000, 445000.000000, 25365.610380, 17862.765885, 14651067.332398, 2022312463441.986300
0.010000, 450000.000000, 25379.113535, 20595.007127, 19648052.239608, 2043633937975.963600
0.010000, 455000.000000, 25366.053476, 19724.032132, 25196802.458546, 1916097635687.380600
0.010000, 460000.000000, 25356.859045, 18164.387768, 30498501.711354, 2173320079368.567600
0.010000, 465000.000000, 25342.659314, 17702.102235, 35618791.332612, 1589692939923.579300
0.010000, 470000.000000, 25360.208154, 24200.004780, 40614058.906606, 1427955109952.805200
0.010000, 475000.000000, 25344.096859, 27689.786758, 46027320.413036, 1661442895149.588600
0.010000, 480000.000000, 25361.742348, 18097.224418, 51039233.422749, 1987485802500.784200
0.010000, 485000.000000, 25376.128496, 19392.938541, 56527296.070931, 1964598243060.272900
0.010000, 490000.000000, 25380.425521, 20635.418955, 61628863.836489, 1628474295287.139400
0.010000, 495000.000000, 25359.608990, 21070.719081, 66914051.693961, 2293195371307.731900
0.010000, 500000.000000, 25358.804143, 18377.399175, 72319940.981900, 2075442768268.576400
0.010000, 505000.000000, 25356.940397, 20319.695660, 77572240.276868, 2176970570588.266100
0.010000, 510000.000000, 25380.776007, 24929.939930, 82556814.978285, 1883334660264.027800
0.010000, 515000.000000, 25372.632223, 14579.857063, 87928807.187744, 1988169318922.657000
0.010000, 520000.000000, 25363.423202, 17790.821135, 93336019.695301, 1708950307905.194300
0.010000, 525000.000000, 25356.983372, 18206.976579, 98772507.612496, 1996908397163.534200
0.010000, 530000.000000, 25360.544608, 23060.070656, 104191350.091645, 2161811371725.857700
0.015000, 430000.000000, 25387.984008, 42092.986368, -1486854.402275, 2202694280220.278800
0.015000, 435000.000000, 25372.528269, 52827.994846, 4016565.529856, 1762575719105.851600
0.015000, 440000.000000, 25374.943609, 53422.833394, 9053741.405936, 1621018470335.429700
0.015000, 445000.000000, 25362.852572, 45546.817284, 14514215.339575, 2115883512417.134800
0.015000, 450000.000000, 25320.728293, 43701.886028, 19893803.018634, 2384785524037.846700
0.015000, 455000.000000, 25370.642810, 45581.069079, 25186844.325933, 1595844117894.163800
0.015000, 460000.000000, 25362.221469, 45993.298399, 30046093.730060, 2008190011756.549600
0.015000, 465000.000000, 25325.357786, 61445.478277, 35531024.445410, 2030702799866.340300
0.015000, 470000.000000, 25362.708332, 52489.959620, 40771273.847668, 1968313945826.228500
0.015000, 475000.000000, 25339.064800, 40102.413817, 45991867.992315, 1880422848728.167700
0.015000, 480000.000000, 25359.227612, 62666.521898, 51155344.299759, 1982916783877.037800
0.015000, 485000.000000, 25338.770249, 39392.514057, 56811343.526008, 1774777055598.903800
0.015000, 490000.000000, 25348.728260, 51642.481928, 61841074.942570, 2294808143963.986800
0.015000, 495000.000000, 25369.471949, 41617.803429, 66865163.073852, 1938841470225.203400
0.015000, 500000.000000, 25326.738721, 45402.735606, 72367088.217562, 2326607735274.721200
0.015000, 505000.000000, 25326.318527, 42632.232076, 77429549.115153, 1977730666040.381600
0.015000, 510000.000000, 25364.958598, 44351.116438, 82970592.078830, 1462713518228.724900
0.015000, 515000.000000, 25354.769825, 57909.758149, 87827741.136126, 1835539708932.268300
0.015000, 520000.000000, 25354.010327, 52467.617516, 93503205.878688, 2270020728907.376000
0.015000, 525000.000000, 25375.296007, 55829.209340, 98425189.444823, 2020309014369.014400
0.015000, 530000.000000, 25342.492690, 38000.768812, 103789939.978774, 2064154121337.089400
0.020000, 430000.000000, 25379.080566, 95383.735103, -1296234.421126, 1629547500673.948200
0.020000, 435000.000000, 25331.042393, 85165.390862, 3833939.980955, 2204098556441.356000
0.020000, 440000.000000, 25403.499107, 99834.319734, 9094797.768765, 1878988595893.172100
0.020000, 445000.000000, 25385.616375, 62258.322566, 14408326.699744, 2239751026362.308600
0.020000, 450000.000000, 25361.429632, 85008.319124, 19764580.826684, 2192900661207.250700
0.020000, 455000.000000, 25367.870878, 76416.823316, 25046180.320360, 1774977255107.403300
0.020000, 460000.000000, 25324.925328, 72360.225943, 30160385.838903, 1592244186057.943800
0.020000, 465000.000000, 25308.800218, 91909.648692, 35555393.657257, 2181269181207.451900
0.020000, 470000.000000, 25356.765804, 69183.709864, 40713852.682517, 2252856169713.545900
